variavel,VIF
log_tamanho_m2,63.97
quartos,17.6
banheiros,9.51
regiao_Central,8.83
regiao_Norte,5.87
regiao_Sao_Jose,5.08
vagas,4.58
regiao_Palhoca,4.38
regiao_Sul,4.36
tipo_Casa,4.24
churrasqueira,4.09
regiao_Continental,3.88
regiao_Leste,3.63
elevador,3.5
salao_de_festas,3.01
piscina,2.08
sacada,1.92
imovel_mobiliado,1.53
academia,1.29
